"Entrez.ID","TxDb.hg38.Transcript.ID","Chromosome","Start.BP","End.BP","Symbol","Ensembl.ID","Symbol.Alt","Bin.ID"
"10257",165559,"chr13",95019835,95301451,"ABCC4","ENSG00000125257",NA,19003
"10057",56725,"chr3",183919934,184017884,"ABCC5","ENSG00000114770",NA,36783
"368",192358,"chr16",16149565,16223494,"ABCC6","ENSG00000091262",NA,3229
"6833",141676,"chr11",17392498,17476807,"ABCC8","ENSG00000006071",NA,3478
"10060",155896,"chr12",21797389,21941426,"ABCC9","ENSG00000069431",NA,4359
"215",248739,"chrX",153724856,153744755,"ABCD1","ENSG00000101986",NA,30744
"5825",5259,"chr1",94418389,94518663,"ABCD3","ENSG00000117528",NA,18883
"5826",173682,"chr14",74285269,74302934,"ABCD4","ENSG00000119688",NA,14857
"6059",61810,"chr4",145098288,145110984,"ABCE1","ENSG00000164163",NA,29019
"23",81498,"chr6",30571393,30591313,"ABCF1","ENSG00000204574",NA,6114
"10061",103982,"chr7",151211484,151227205,"ABCF2","ENSG00000033050",NA,30242
"55324",48970,"chr3",184186095,184187958,"ABCF3","ENSG00000161204",NA,36837
"9619",237634,"chr21",42199689,42297244,"ABCG1","ENSG00000160179",NA,8439
"9429",65545,"chr4",88090150,88231628,"ABCG2","ENSG00000118777",NA,17618
"64137",139377,"chr11",119149052,119162653,"ABCG4","ENSG00000172350",NA,23829
"64240",33987,"chr2",43812472,43838839,"ABCG5","ENSG00000138075",NA,8762
"64241",24310,"chr2",43831942,43873929,"ABCG8","ENSG00000143921",NA,8766
"84696",23516,"chr2",27123789,27130353,"ABHD1","ENSG00000143994",NA,5424
"55347",45896,"chr3",111979010,111992271,"ABHD10","ENSG00000144827",NA,22395
"83451",100692,"chr7",73736094,73738781,"ABHD11","ENSG00000106077",NA,14747
"26090",234287,"chr20",25294742,25317074,"ABHD12","ENSG00000100997",NA,5058
"145447",167738,"chr14",50872053,50904970,"ABHD12B","ENSG00000131969",NA,10174
"84945",163554,"chr13",108218392,108234243,"ABHD13","ENSG00000139826",NA,21643
"25864",44398,"chr3",51971426,51980474,"ABHD14A","ENSG00000248487",NA,10394
"84836",52509,"chr3",51961212,51974031,"ABHD14B","ENSG00000114779",NA,10392
"116236",205811,"chr17",29560547,29567037,"ABHD15","ENSG00000168792",NA,5912
"7920",87359,"chr6",31686955,31688389,"ABHD16A","ENSG00000204427",NA,6337
"140701",233264,"chr20",63861498,63862988,"ABHD16B","ENSG00000183260",NA,12772
"11057",179124,"chr15",89087459,89155390,"ABHD2","ENSG00000140526",NA,17817
"171586",214039,"chr18",21650901,21704774,"ABHD3","ENSG00000158201",NA,4330
"63874",166454,"chr14",22598290,22604076,"ABHD4","ENSG00000100439",NA,4519
"51099",43702,"chr3",43690108,43719541,"ABHD5","ENSG00000011198",NA,8738
"57406",44778,"chr3",58237532,58294734,"ABHD6","ENSG00000163686",NA,11647
"79575",225616,"chr19",17292131,17303425,"ABHD8","ENSG00000127220",NA,3458
"10006",129032,"chr10",26746593,26860892,"ABI1","ENSG00000136754",NA,5349
"10152",30139,"chr2",203328280,203432173,"ABI2","ENSG00000138443",NA,40665
"51225",200389,"chr17",49210411,49223036,"ABI3","ENSG00000108798",NA,9842
"25890",53546,"chr3",100749156,100993421,"ABI3BP","ENSG00000154175",NA,20149
"25",118434,"chr9",130713043,130887675,"ABL1","ENSG00000097007",NA,26142
"27",20241,"chr1",179099330,179143076,"ABL2","ENSG00000143322",NA,35819
"3983",131927,"chr10",114431112,114658275,"ABLIM1","ENSG00000099204",NA,22886
"84448",63521,"chr4",7965310,8020825,"ABLIM2","ENSG00000163995",NA,1593
"22885",72837,"chr5",149141483,149260542,"ABLIM3","ENSG00000173210",NA,29828
"28",123000,"chr9",133250401,133275219,"ABO","ENSG00000175164",NA,26650
"26",97813,"chr7",150824627,150861504,"ABP1","ENSG00000002726","AOC1",30164
"28988",93667,"chr7",44044640,44061714,"ABP1","ENSG00000136279","DBNL",8808
"29",203345,"chr17",1003519,1179981,"ABR","ENSG00000159842",NA,200
"137735",112905,"chr8",106759483,106770244,"ABRA","ENSG00000174429",NA,21351
"58527",85016,"chr6",139028745,139043302,"ABRACL","ENSG00000146386",NA,27805
"29777",81113,"chr6",26596953,26600739,"ABT1","ENSG00000146109",NA,5319
"80325",46564,"chr3",127672935,127677026,"ABTB1","ENSG00000114626",NA,25534
"25841",142261,"chr11",34150987,34358010,"ABTB2","ENSG00000166016",NA,6830
"30",51144,"chr3",38122710,38137242,"ACAA1","ENSG00000060971",NA,7624
"10449",214885,"chr18",49782164,49813533,"ACAA2","ENSG00000167315",NA,9956
"31",206288,"chr17",37084992,37406836,"ACACA","ENSG00000278540",NA,7416
"32",153051,"chr12",109111218,109125594,"ACACB","ENSG00000076555",NA,21822
"80724",153246,"chr12",111686053,111757099,"ACAD10","ENSG00000111271",NA,22337
"84129",55138,"chr3",132558138,132659649,"ACAD11","ENSG00000240303",NA,26511
"27034",140127,"chr11",134253548,134262958,"ACAD8","ENSG00000151498",NA,26850
"28976",46643,"chr3",128879596,128884689,"ACAD9","ENSG00000177646",NA,25775
"33",40262,"chr2",210187126,210224723,"ACADL","ENSG00000115361",NA,42037
"34",4675,"chr1",75724431,75735094,"ACADM","ENSG00000117054",NA,15144
"35",153736,"chr12",120725774,120737805,"ACADS","ENSG00000122971",NA,24145
"36",127828,"chr10",123008979,123054119,"ACADSB","ENSG00000196177",NA,24601
"37",196786,"chr17",7217125,7225266,"ACADVL","ENSG00000072778",NA,1443
"176",179112,"chr15",88803436,88875353,"ACAN","ENSG00000157766",NA,17760
"9744",196857,"chr17",7336529,7351477,"ACAP1","ENSG00000072818",NA,1467
"23527",57241,"chr3",195274745,195443020,"ACAP2","ENSG00000114331",NA,39054
"116983",11863,"chr1",1292390,1305929,"ACAP3","ENSG00000131584",NA,258
"38",138569,"chr11",108116695,108147594,"ACAT1","ENSG00000075239",NA,21623
"39",85682,"chr6",159762045,159779112,"ACAT2","ENSG00000120437",NA,31952
"64746",21743,"chr1",226144679,226186741,"ACBD3","ENSG00000182827",NA,45228
"79777",199841,"chr17",45132600,45135865,"ACBD4","ENSG00000181513",NA,9026
"91452",129079,"chr10",27168135,27240784,"ACBD5","ENSG00000107897",NA,5433
"84320",20276,"chr1",180269653,180502954,"ACBD6","ENSG00000230124",NA,36053
"414149",128806,"chr10",15075475,15088776,"ACBD7","ENSG00000176244",NA,3015
"84680",134746,"chr11",44065925,44077699,"ACCS","ENSG00000110455",NA,8813
"390110",134741,"chr11",43921059,43933410,"ACCSL","ENSG00000205126",NA,8784
"65057",194603,"chr16",67657512,67659079,"ACD","ENSG00000102977",NA,13531
"1636",201327,"chr17",63477061,63478898,"ACE","ENSG00000159640",NA,12695
"59272",249399,"chrX",15494566,15600960,"ACE2","ENSG00000130234",NA,3098
"340485",115112,"chr9",19409009,19452505,"ACER2","ENSG00000177076",NA,3881
"55331",137839,"chr11",76860859,77023879,"ACER3","ENSG00000078124",NA,15372
"43",102072,"chr7",100889994,100895886,"ACHE","ENSG00000087085",NA,20177
"22985",171712,"chr14",23058564,23071565,"ACIN1","ENSG00000100813",NA,4611
"47",206833,"chr17",41866917,41918962,"ACLY","ENSG00000131473",NA,8373
"130013",27792,"chr2",134838616,134873661,"ACMSD","ENSG00000153086",NA,26967
"57001",95392,"chr7",97117698,97181763,"ACN9","ENSG00000196636","SDHAF3",19423
"48",115266,"chr9",32384603,32450832,"ACO1","ENSG00000122729",NA,6476
"50",241747,"chr22",41447830,41529273,"ACO2","ENSG00000100412",NA,8289
"641371",168960,"chr14",73537143,73543796,"ACOT1","ENSG00000184227",NA,14707
"26027",3927,"chr1",54542257,54610124,"ACOT11","ENSG00000162390",NA,10908
"134526",76438,"chr5",81329996,81394134,"ACOT12","ENSG00000172497",NA,16265
"55856",80917,"chr6",24667035,24705065,"ACOT13","ENSG00000112304",NA,4933
"10965",168962,"chr14",73567620,73575653,"ACOT2","ENSG00000119673",NA,14713
"122970",168967,"chr14",73591873,73595766,"ACOT4","ENSG00000177465",NA,14718
"641372",168969,"chr14",73610945,73619721,"ACOT6","ENSG00000205669",NA,14722
"11332",12348,"chr1",6264269,6393361,"ACOT7","ENSG00000097021",NA,1252
"10005",235459,"chr20",45841721,45857392,"ACOT8","ENSG00000101473",NA,9168
"23597",249607,"chrX",23701055,23743276,"ACOT9","ENSG00000123130",NA,4740
"51",209887,"chr17",75941507,75979166,"ACOX1","ENSG00000161533",NA,15188
"8309",52849,"chr3",58505136,58522987,"ACOX2","ENSG00000168306",NA,11701
"8310",63540,"chr4",8366282,8440723,"ACOX3","ENSG00000087008",NA,1673
"55289",26964,"chr2",110732539,111118548,"ACOXL","ENSG00000153093",NA,22146
"52",22695,"chr2",264893,277506,"ACP1","ENSG00000143727",NA,52
"53",142632,"chr11",47239302,47248814,"ACP2","ENSG00000134575",NA,9447
"54",224774,"chr19",11574653,11578987,"ACP5","ENSG00000102575",NA,2314
"51205",17817,"chr1",147629652,147659001,"ACP6","ENSG00000162836",NA,29525
"92370",47320,"chr3",141228726,141287385,"ACPL2","ENSG00000155893","PXYLP1",28245
"55",46927,"chr3",132317369,132342579,"ACPP","ENSG00000014257","ACP3",26463
"93650",221851,"chr19",50790415,50795219,"ACPT","ENSG00000142513","ACP4",10158
"84519",155059,"chr12",6638075,6638851,"ACRBP","ENSG00000111644",NA,1327
"93953",246896,"chrX",71578437,71613583,"ACRC","ENSG00000147174","GCNA",14315
"56",147274,"chr11",125671522,125680847,"ACRV1","ENSG00000134940",NA,25134
"23205",183146,"chr15",78167468,78234565,"ACSBG1","ENSG00000103740",NA,15633
"81616",216610,"chr19",6135247,6151797,"ACSBG2","ENSG00000130377",NA,1227
"80221",200560,"chr17",50426158,50474670,"ACSF2","ENSG00000167107",NA,10085
"197322",190425,"chr16",89088375,89114473,"ACSF3","ENSG00000176715",NA,17817
"2180",67754,"chr4",184755595,184825968,"ACSL1","ENSG00000151726",NA,36951
"2181",31069,"chr2",222860942,222942222,"ACSL3","ENSG00000123983",NA,44572
"2182",251747,"chrX",109629350,109659513,"ACSL4","ENSG00000068366",NA,21925
"51703",127422,"chr10",112374116,112428376,"ACSL5","ENSG00000197142",NA,22474
"23305",77712,"chr5",131807143,131994278,"ACSL6","ENSG00000164398",NA,26361
"116285",192566,"chr16",20623235,20697680,"ACSM1","ENSG00000166743",NA,4124
"123876",186361,"chr16",20451461,20469545,"ACSM2A","ENSG00000183747",NA,4090
"348158",192544,"chr16",20536226,20576367,"ACSM2B","ENSG00000066813",NA,4107
"6296",186380,"chr16",20610243,20775920,"ACSM3","ENSG00000005187",NA,4122
"341392",148267,"chr12",7304072,7328719,"ACSM4","ENSG00000215009",NA,1460
"84532",234258,"chr20",25006230,25032706,"ACSS1","ENSG00000154930",NA,5001
"55902",231464,"chr20",34872146,34882990,"ACSS2","ENSG00000131069",NA,6974
"79611",152121,"chr12",80937815,81134963,"ACSS3","ENSG00000111058",NA,16187
"58",21946,"chr1",229430365,229434100,"ACTA1","ENSG00000143632",NA,45886
"59",130900,"chr10",88934822,88952773,"ACTA2","ENSG00000107796",NA,17786
"60",98417,"chr7",5526409,5530601,"ACTB","ENSG00000075624",NA,1105
"70",180464,"chr15",34790107,34795589,"ACTC1","ENSG00000159251",NA,6958
"71",210447,"chr17",81509413,81514629,"ACTG1","ENSG00000184009",NA,16301
"72",25523,"chr2",73892314,73919675,"ACTG2","ENSG00000163017",NA,14778
"170487",231396,"chr20",33666943,33668525,"ACTL10","ENSG00000288649",NA,6733
"86",48429,"chr3",179562886,179588407,"ACTL6A","ENSG00000136518",NA,35912
"51412",102043,"chr7",100643097,100656448,"ACTL6B","ENSG00000077080",NA,20128
"10880",121824,"chr9",108854588,108855986,"ACTL7B","ENSG00000148156",NA,21770
"81569",1335,"chr1",17755333,17827063,"ACTL8","ENSG00000117148",NA,3551
"87",173421,"chr14",68874128,68979302,"ACTN1","ENSG00000072110",NA,13774
"88",11259,"chr1",236664141,236720142,"ACTN2","ENSG00000077522",NA,47332
"89",136837,"chr11",66546395,66563326,"ACTN3","ENSG00000248746",NA,13309
"81",220092,"chr19",38647649,38721878,"ACTN4","ENSG00000130402",NA,7729
"55860",168056,"chr14",58200080,58234760,"ACTR10","ENSG00000131966",NA,11640
"10121",131599,"chr10",102461881,102502709,"ACTR1A","ENSG00000138107",NA,20492
"10120",36604,"chr2",97655939,97664044,"ACTR1B","ENSG00000115073",NA,19531
"10097",25064,"chr2",65227788,65246737,"ACTR2","ENSG00000138071",NA,13045
"10096",27215,"chr2",113890063,113931369,"ACTR3","ENSG00000115091",NA,22778
"57180",97992,"chr7",152759749,152854938,"ACTR3B","ENSG00000133627",NA,30551
"653857",103885,"chr7",149891191,149909704,"ACTR3C","ENSG00000106526",NA,29978
"79913",231814,"chr20",38748460,38772520,"ACTR5","ENSG00000101442",NA,7749
"64431",152611,"chr12",100199122,100210320,"ACTR6","ENSG00000075089",NA,20039
"93973",52717,"chr3",53867066,53882152,"ACTR8","ENSG00000113812",NA,10773
"139741",252061,"chrX",128050962,128052403,"ACTRT1","ENSG00000123165",NA,25610
"90",38210,"chr2",157736251,157875065,"ACVR1","ENSG00000115170",NA,31547
"91",150230,"chr12",51951699,51997078,"ACVR1B","ENSG00000135503",NA,10390
"130399",38205,"chr2",157526767,157628864,"ACVR1C","ENSG00000123612",NA,31505
"92",28215,"chr2",147844517,147896447,"ACVR2A","ENSG00000121989",NA,29568
"93",43341,"chr3",38453890,38493142,"ACVR2B","ENSG00000114739",NA,7690
"94",150220,"chr12",51906908,51923361,"ACVRL1","ENSG00000139567",NA,10381
"95",44432,"chr3",51983340,51984577,"ACY1","ENSG00000243989",NA,10396
"91703",144441,"chr11",67642555,67650730,"ACY3","ENSG00000132744",NA,13528
"97",173794,"chr14",75053237,75069483,"ACYP1","ENSG00000119640",NA,15010
"98",24606,"chr2",53970838,53975376,"ACYP2","ENSG00000170634",NA,10794
"100",235323,"chr20",44584896,44651702,"ADA","ENSG00000196839",NA,8916
"161931",190100,"chr16",84191138,84197166,"ADAD2","ENSG00000140955",NA,16838
"161823",176837,"chr15",43330672,43354569,"ADAL","ENSG00000168803","MAPDA",8666
"102",181767,"chr15",58588809,58749707,"ADAM10","ENSG00000137845",NA,11717
"4185",199800,"chr17",44758988,44781846,"ADAM11","ENSG00000073670",NA,8951
"8038",132405,"chr10",126012381,126388455,"ADAM12","ENSG00000148848",NA,25202
"8751",7403,"chr1",155050566,155056238,"ADAM15","ENSG00000143537",NA,31010
"6868",32779,"chr2",9488486,9555830,"ADAM17","ENSG00000151694",NA,1897
"8749",105989,"chr8",39584489,39610744,"ADAM18","ENSG00000168619",NA,7916
"8728",79077,"chr5",157395534,157575775,"ADAM19","ENSG00000135074",NA,31479
"2515",110901,"chr8",39743735,39838209,"ADAM2","ENSG00000104755",NA,7948
"8748",173523,"chr14",70522358,70535004,"ADAM20","ENSG00000134007",NA,14104
"8747",168725,"chr14",70417107,70460427,"ADAM21","ENSG00000139985",NA,14083
"53616",95064,"chr7",87934143,88202889,"ADAM22","ENSG00000008277",NA,17586
"8745",30245,"chr2",206443532,206621127,"ADAM23","ENSG00000114948",NA,41288
"10863",105343,"chr8",24294069,24311427,"ADAM28","ENSG00000042980",NA,4858
"11086",62718,"chr4",174829689,174931174,"ADAM29","ENSG00000168594",NA,34965
"203102",105962,"chr8",39106990,39151448,"ADAM32","ENSG00000197140",NA,7821
"80332",233641,"chr20",3667965,3673747,"ADAM33","ENSG00000149451",NA,733
"8756",105360,"chr8",24440930,24467647,"ADAM7","ENSG00000069206",NA,4888
"101",132532,"chr10",133262420,133276850,"ADAM8","ENSG00000151651",NA,26652
"8754",105934,"chr8",38996754,39105445,"ADAM9","ENSG00000168615",NA,7799
"9510",238553,"chr21",26835755,26845409,"ADAMTS1","ENSG00000154734",NA,5367
"81794",224270,"chr19",8580240,8610715,"ADAMTS10","ENSG00000142303",NA,1716
"81792",75141,"chr5",33523535,33891990,"ADAMTS12","ENSG00000151388",NA,6704
"11093",118659,"chr9",133414358,133459386,"ADAMTS13","ENSG00000160323",NA,26682
"140766",125557,"chr10",70672506,70762441,"ADAMTS14","ENSG00000138316",NA,14134
"170689",140057,"chr11",130448645,130476645,"ADAMTS15","ENSG00000166106",NA,26089
"170690",68212,"chr5",5140330,5223727,"ADAMTS16","ENSG00000145536",NA,1028
"170691",184255,"chr15",99971437,100341975,"ADAMTS17","ENSG00000140470",NA,19994
"170692",195409,"chr16",77247813,77289359,"ADAMTS18","ENSG00000140873",NA,15449
"171019",71751,"chr5",129460281,129527831,"ADAMTS19","ENSG00000145808",NA,25892
"9509",79753,"chr5",179110853,179345461,"ADAMTS2","ENSG00000087116",NA,35822
"80070",156503,"chr12",43353866,43552203,"ADAMTS20","ENSG00000173157",NA,8670
"9508",64744,"chr4",72280969,72569221,"ADAMTS3","ENSG00000156140",NA,14456
"9507",19534,"chr1",161184302,161199054,"ADAMTS4","ENSG00000158859",NA,32236
"11096",238563,"chr21",26917922,26967088,"ADAMTS5","ENSG00000154736",NA,5383
"11174",75918,"chr5",65148738,65481920,"ADAMTS6","ENSG00000049192",NA,13029
"11173",183200,"chr15",78759206,78811464,"ADAMTS7","ENSG00000136378",NA,15751
"11095",147438,"chr11",130404923,130428609,"ADAMTS8","ENSG00000134917",NA,26080
"56999",53002,"chr3",64515654,64688000,"ADAMTS9","ENSG00000163638",NA,12903
"92949",115081,"chr9",17906563,18908548,"ADAMTSL1","ENSG00000178031",NA,3581
"9719",118675,"chr9",133532164,133575519,"ADAMTSL2","ENSG00000197859",NA,26706
"57188",178942,"chr15",83654088,84039427,"ADAMTSL3","ENSG00000156218",NA,16730
"54507",6949,"chr1",150549369,150560932,"ADAMTSL4","ENSG00000143382",NA,30109
"339366",223318,"chr19",1505022,1513019,"ADAMTSL5","ENSG00000185761",NA,301
"11033",98210,"chr7",897900,954680,"ADAP1","ENSG00000105963",NA,179
"55803",198565,"chr17",30921680,30958739,"ADAP2","ENSG00000184060",NA,6184
"103",18514,"chr1",154581695,154608114,"ADAR","ENSG00000160710",NA,30916
"104",237883,"chr21",45073853,45137326,"ADARB1","ENSG00000197381",NA,9014
"105",128200,"chr10",1177313,1737525,"ADARB2","ENSG00000185736",NA,235
"23536",195368,"chr16",75596868,75623281,"ADAT1","ENSG00000065457",NA,15119
"134637",91173,"chr6",143422832,143441977,"ADAT2","ENSG00000189007",NA,28684
"113179",216145,"chr19",1905399,1913447,"ADAT3","ENSG00000213638",NA,381
"113451",2490,"chr1",33081104,33093400,"ADC","ENSG00000142920","AZIN2",6616
"339896",50926,"chr3",30726197,30894661,"ADC","ENSG00000144644","GADL1",6145
"57143",169326,"chr14",77800109,77935014,"ADCK1","ENSG00000063761",NA,15560
"90956",97242,"chr7",140672945,140695110,"ADCK2","ENSG00000133597",NA,28134
"56997",10780,"chr1",226940286,226987544,"ADCK3","ENSG00000163050","COQ8A",45388
"79934",227422,"chr19",40691514,40714733,"ADCK4","ENSG00000123815","COQ8B",8138
"203054",109390,"chr8",144373101,144391064,"ADCK5","ENSG00000173137",NA,28874
"107",93791,"chr7",45574140,45664672,"ADCY1","ENSG00000164742",NA,9114
"55811",19801,"chr1",167809386,167914134,"ADCY10","ENSG00000143199",NA,33561
"108",68297,"chr5",7396138,7830081,"ADCY2","ENSG00000078295",NA,1479
"109",33178,"chr2",24819169,24919839,"ADCY3","ENSG00000138031",NA,4963
"196883",172056,"chr14",24318349,24335071,"ADCY4","ENSG00000129467",NA,4863
"111",54503,"chr3",123282296,123449090,"ADCY5","ENSG00000173175",NA,24656
"112",156857,"chr12",48766194,48774496,"ADCY6","ENSG00000174233",NA,9753
"113",187919,"chr16",50246137,50290528,"ADCY7","ENSG00000121281",NA,10049
"114",113756,"chr8",130780301,131040909,"ADCY8","ENSG00000155897",NA,26156
"115",191694,"chr16",3953387,3989000,"ADCY9","ENSG00000162104",NA,790
"117",93254,"chr7",31052308,31111474,"ADCYAP1R1","ENSG00000078549",NA,6210
"118",57974,"chr4",2843844,2930062,"ADD1","ENSG00000087274",NA,568
"119",35478,"chr2",70607618,70768198,"ADD2","ENSG00000075340",NA,14121
"120",127296,"chr10",109996368,110118608,"ADD3","ENSG00000148700",NA,21999
"124",65709,"chr4",99276369,99290985,"ADH1A","ENSG00000187758",NA,19855
"125",65712,"chr4",99304971,99321401,"ADH1B","ENSG00000196616",NA,19860
"127",65688,"chr4",99123657,99144297,"ADH4","ENSG00000198099",NA,19824
"128",65675,"chr4",99070978,99088788,"ADH5","ENSG00000197894",NA,19814
"130",65701,"chr4",99202638,99219235,"ADH6","ENSG00000172955",NA,19840
"137872",106915,"chr8",66430185,66445324,"ADHFE1","ENSG00000147576",NA,13286
"55256",32448,"chr2",3497366,3519531,"ADI1","ENSG00000182551",NA,699
"149685",231805,"chr20",38581195,38585695,"ADIG","ENSG00000182035",NA,7716
"9370",49301,"chr3",186842704,186858463,"ADIPOQ","ENSG00000181092",NA,37368
"51094",20844,"chr1",202940826,202944796,"ADIPOR1","ENSG00000159346",NA,40588
"79602",147653,"chr12",1688574,1772924,"ADIPOR2","ENSG00000006831",NA,337
"132",125770,"chr10",74151202,74708699,"ADK","ENSG00000156110",NA,14830
"133",133661,"chr11",10305073,10307395,"ADM","ENSG00000148926",NA,2061
"79924",242310,"chr22",50481543,50486437,"ADM2","ENSG00000128165",NA,10096
"23394",235707,"chr20",50888916,50905558,"ADNP","ENSG00000101126",NA,10177
"22850",213400,"chr18",80109262,80140346,"ADNP2","ENSG00000101544",NA,16021
"84890",125178,"chr10",62804720,62808479,"ADO","ENSG00000181915",NA,12560
"134",9702,"chr1",203090654,203167404,"ADORA1","ENSG00000163485",NA,40618
"135",240452,"chr22",24417879,24433192,"ADORA2A","ENSG00000128271",NA,4883
"136",197432,"chr17",15829369,15908632,"ADORA2B","ENSG00000170425",NA,3165
"140",17164,"chr1",111499429,111503633,"ADORA3","ENSG00000282608",NA,22299
"83440",182653,"chr15",72751294,72783758,"ADPGK","ENSG00000159322",NA,14550
"141",46163,"chr3",119579268,119589945,"ADPRH","ENSG00000144843",NA,23915
"113622",166005,"chr13",113399611,113410975,"ADPRHL1","ENSG00000153531",NA,22679
"54936",2630,"chr1",36088892,36093932,"ADPRHL2","ENSG00000116863","ADPRS",7217
"148",110450,"chr8",26748150,26865405,"ADRA1A","ENSG00000120907",NA,5349
"147",73308,"chr5",159865080,159917010,"ADRA1B","ENSG00000170214",NA,31973
"146",233667,"chr20",4220630,4249287,"ADRA1D","ENSG00000171873",NA,844
"150",127414,"chr10",111077029,111080907,"ADRA2A","ENSG00000150594",NA,22215
"151",36472,"chr2",96112876,96116571,"ADRA2B","ENSG00000274286",NA,19222
"152",58104,"chr4",3766385,3768526,"ADRA2C","ENSG00000184160",NA,753
"153",127509,"chr10",114043866,114046904,"ADRB1","ENSG00000043591",NA,22808
"154",72825,"chr5",148826611,148828623,"ADRB2","ENSG00000169252",NA,29765
"155",110759,"chr8",37934340,37965953,"ADRB3","ENSG00000188778",NA,7586
"156",136934,"chr11",67266473,67286556,"ADRBK1","ENSG00000173020","GRK2",13453
"157",240552,"chr22",25564675,25729294,"ADRBK2","ENSG00000100077","GRK3",5112
"11047",233043,"chr20",62302093,62308862,"ADRM1","ENSG00000130706",NA,12460
